Image Name,PNG Size,CRDR Beta 0.0,CRDR Beta 0.64,CRDR Beta 1.28,CRDR Beta 2.56,CRDR Beta 3.84,CRDR Beta 5.12,HiFiC-Med,Hyperprior,JPEG Quality 70,JPEG Quality 50,MRIC Beta 0.0,MRIC Beta 2.56
0420.png,6181523.0,5412877.0,5692076.0,5747211.0,5892785.0,6053811.0,6222035.0,5697795.0,5154030.0,5441538.0,5023325.0,5438970.0,6155702.0
0421.png,5223113.0,4541429.0,4806253.0,4864127.0,5031425.0,5210290.0,5421169.0,4972225.0,4337409.0,4747819.0,4409704.0,5050097.0,5523875.0
0422.png,2360625.0,2051785.0,2375629.0,2419965.0,2557985.0,2705512.0,2864754.0,2597216.0,1915687.0,1514826.0,1350808.0,3384658.0,3546243.0
0423.png,4915328.0,4223114.0,4425993.0,4476019.0,4619616.0,4780323.0,4940860.0,4507572.0,3940036.0,4473165.0,4114509.0,4812467.0,5606004.0
0424.png,3249411.0,2264428.0,2939344.0,3025681.0,3243118.0,3417589.0,3621836.0,3203654.0,1910634.0,1846408.0,1433538.0,3331683.0,3955606.0
0425.png,3190147.0,2024372.0,2720218.0,2809954.0,2993573.0,3122704.0,3276505.0,2936221.0,1506820.0,1856032.0,1348283.0,3005714.0,3645585.0
0426.png,5033206.0,4260970.0,4534561.0,4584150.0,4709395.0,4831571.0,4942315.0,4333067.0,3668122.0,4227998.0,3914561.0,4509085.0,5476790.0
0427.png,4897235.0,3829729.0,4228325.0,4299450.0,4495387.0,4713304.0,4909038.0,4355443.0,3344594.0,3833259.0,3284152.0,4300641.0,5432805.0
0428.png,4389657.0,3071931.0,3651676.0,3750825.0,4014624.0,4243404.0,4440766.0,3961708.0,2610624.0,2954459.0,2389106.0,3975768.0,4897051.0
0429.png,5554755.0,4600865.0,4907141.0,4970712.0,5163856.0,5397588.0,5603151.0,5123619.0,4194356.0,5107485.0,4847797.0,4465900.0,5377382.0
0430.png,4215076.0,3353195.0,3776015.0,3845979.0,4051482.0,4269565.0,4477901.0,3915271.0,3048501.0,3175805.0,2731332.0,4127828.0,4781230.0
0431.png,3347446.0,2473960.0,3020655.0,3104833.0,3348815.0,3620542.0,3827561.0,3431105.0,2346882.0,2274730.0,1844662.0,3701691.0,4311657.0
0432.png,3457192.0,2324451.0,3012589.0,3101429.0,3282054.0,3480217.0,3715418.0,3220280.0,1988035.0,2082671.0,1619815.0,3520571.0,4254569.0
0433.png,3830203.0,2509751.0,3036841.0,3112261.0,3301403.0,3475364.0,3649997.0,3322012.0,2204189.0,2182880.0,1858981.0,3539387.0,4077469.0
0434.png,4219638.0,3546690.0,3782037.0,3833014.0,3974789.0,4121324.0,4271920.0,3931922.0,3334590.0,3979598.0,3788034.0,3842940.0,4413896.0
0435.png,3398068.0,2522505.0,2922162.0,2979701.0,3152061.0,3333188.0,3517621.0,3130181.0,2343491.0,2208834.0,1947267.0,3685190.0,4088236.0
0436.png,3600689.0,2724982.0,3256469.0,3347554.0,3591965.0,3806016.0,3989693.0,3633925.0,2343171.0,2421524.0,2004561.0,3632036.0,4448052.0
0437.png,1581276.0,1069685.0,1246099.0,1274121.0,1347786.0,1424088.0,1512242.0,1361188.0,944017.0,855178.0,765349.0,1657867.0,1847871.0
0438.png,5958754.0,5370353.0,5574663.0,5626069.0,5760694.0,5905839.0,6045833.0,5423783.0,4884248.0,5478341.0,5016912.0,5745152.0,6683386.0
0439.png,4976690.0,4199584.0,4585799.0,4658067.0,4854450.0,5049537.0,5214740.0,4626656.0,3669683.0,4198479.0,3716108.0,4753722.0,5887467.0
0440.png,5036901.0,4238494.0,4460925.0,4514870.0,4683226.0,4900329.0,5125825.0,4711382.0,4088889.0,4640615.0,4391382.0,5246748.0,5811040.0
0441.png,3616888.0,3087984.0,3409344.0,3472608.0,3656037.0,3845695.0,4021029.0,3442683.0,2617020.0,2897411.0,2549180.0,3488894.0,4028830.0
0442.png,3997401.0,2432870.0,3298108.0,3401263.0,3606071.0,3810032.0,3995273.0,3542280.0,2164164.0,2548778.0,1845087.0,3656528.0,4301929.0
0443.png,6378766.0,6104460.0,6190460.0,6228098.0,6315157.0,6393360.0,6464230.0,5763587.0,5342082.0,6145239.0,5506289.0,5917422.0,7171883.0
0444.png,3328989.0,2645120.0,3142768.0,3209195.0,3405291.0,3609755.0,3837692.0,3443691.0,2464320.0,2216010.0,1856878.0,3732676.0,4151901.0
0445.png,3173059.0,2428212.0,2955735.0,3030093.0,3212185.0,3378535.0,3533546.0,3290329.0,2290789.0,2258556.0,1864476.0,3517619.0,3893525.0
0446.png,5894921.0,5191717.0,5425933.0,5481510.0,5637658.0,5807614.0,5978838.0,5275285.0,4640823.0,5370423.0,4929498.0,5590641.0,6676731.0
0447.png,6006911.0,4775546.0,5118010.0,5189870.0,5387515.0,5633347.0,5902290.0,5288865.0,4371678.0,4509181.0,4043398.0,5497374.0,6468473.0
0448.png,5020960.0,3360623.0,4168011.0,4284765.0,4595563.0,4864866.0,5098580.0,4561983.0,2953823.0,3548016.0,2818433.0,4015313.0,4929835.0
0449.png,4063976.0,2158357.0,3123470.0,3253904.0,3534199.0,3774186.0,4003175.0,3456522.0,1745052.0,2390705.0,1704193.0,3428981.0,4359864.0
0450.png,6923730.0,4996518.0,5964600.0,6112233.0,6546782.0,6943993.0,7238097.0,6412096.0,4517157.0,5284493.0,4388467.0,5792410.0,7097403.0
0451.png,4994138.0,4026498.0,4414969.0,4483353.0,4676497.0,4901032.0,5098605.0,4566519.0,3585228.0,4447231.0,4143664.0,4520155.0,5619620.0
0452.png,3411177.0,2566624.0,3135805.0,3198196.0,3375797.0,3551131.0,3732387.0,3184749.0,2313235.0,1856781.0,1646902.0,3667286.0,4092270.0
0453.png,5038666.0,3312810.0,4017322.0,4126165.0,4435185.0,4764868.0,5077124.0,4500125.0,2927327.0,3306142.0,2747854.0,3930501.0,4915327.0
0454.png,3223075.0,2565101.0,3062363.0,3128714.0,3321176.0,3527782.0,3737153.0,3372446.0,2489546.0,1966970.0,1727607.0,4138866.0,4599929.0
0455.png,3248707.0,2534335.0,3029238.0,3102089.0,3288838.0,3463718.0,3615216.0,3328776.0,2315303.0,2329960.0,2009043.0,3378510.0,3952903.0
0456.png,3330852.0,2894764.0,3199144.0,3263878.0,3445616.0,3610789.0,3789628.0,3381528.0,2671548.0,2860409.0,2533434.0,3953026.0,4375155.0
0457.png,3174008.0,2609861.0,2855582.0,2902950.0,3038810.0,3201418.0,3390659.0,3124632.0,2488983.0,2591053.0,2346757.0,3521688.0,3953385.0
0458.png,3712030.0,2661551.0,3189965.0,3286545.0,3552392.0,3783437.0,3971898.0,3505936.0,2260458.0,2733043.0,2295473.0,3580025.0,4346203.0
0459.png,4089048.0,2722608.0,3303585.0,3393585.0,3630405.0,3872630.0,4119794.0,3666932.0,2532404.0,2835208.0,2369461.0,3897936.0,4476463.0
0460.png,6877947.0,5194040.0,5704850.0,5812572.0,6127740.0,6520526.0,7002531.0,6375516.0,5076438.0,5498848.0,4878310.0,6564841.0,7574773.0
0461.png,3840177.0,2655013.0,3188557.0,3274722.0,3511783.0,3755193.0,4001157.0,3438459.0,2447791.0,2234626.0,1883402.0,3670826.0,4070885.0
